property_id,tag_id,tag_name,positive_percentage,rating_type,ai_positive_summary,ai_negative_summary
18170457,0,service,0.9353,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,1,check_in,0.8889,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,2,check_out,0.9688,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,3,staff,0.9302,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,4,atmosphere,0.8621,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,7,value_of_money,0.8545,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,8,location,0.746,VeryGood,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,11,transport,0.4444,None,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,16,cleanliness,0.9237,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,17,sleep,0.7391,Good,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,18,bed,0.9091,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,20,room_view,0.6923,Good,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,21,room_size,0.1343,None,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,22,soundproofing,0.1429,None,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,24,room_design,0.8571,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,25,interior,0.84,VeryGood,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,30,business_trip,0.9444,Excellent,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
18170457,31,amenities,0.7312,Good,Guests have praised the hotel's excellent and friendly staff who make the stay comfortable and enjoyable. The location is also a big plus with easy access to the city center and public transportation. The clean and modern rooms with great beds are highly appreciated by guests. The complimentary buffet breakfast offers local dishes and is a great way to start the day. The modern design adds to the overall positive experience.,"Although the rooms are clean and modern, they are relatively small and have limited facilities."
